gene_id	product	subfamily	contrast	log2FC	padj	direction
LOC110921506	probable aquaporin NIP5-1	NIP	Cold	3.732	0.000152	up
LOC110921506	probable aquaporin NIP5-1	NIP	Drought_7d	-3.399	0.000713	down
LOC110921506	probable aquaporin NIP5-1	NIP	Drought_14d	-2.515	0.00738	down
LOC110925968	aquaporin PIP2-7	PIP	Cold	-2.743	0.0088	down
LOC110925968	aquaporin PIP2-7	PIP	Salt_NaCl	-3.285	1.97e-12	down
LOC110925968	aquaporin PIP2-7	PIP	Drought_7d	-4.062	7.63e-06	down
LOC110925968	aquaporin PIP2-7	PIP	Drought_14d	-5.739	5.92e-11	down
LOC110925968	aquaporin PIP2-7	PIP	PEG_72h	-3.897	6.96e-08	down
LOC110923973	aquaporin NIP2-2	NIP	PEG_72h	-1.285	0.00139	down
LOC110923973	aquaporin NIP2-2	NIP	Flooding	1.199	0.000662	up
LOC110923973	aquaporin NIP2-2	NIP	Orobanche_D	1.943	0.0418	up
LOC110923973	aquaporin NIP2-2	NIP	Orobanche_E	2.151	0.0194	up
LOC110884547	aquaporin NIP2-1	NIP	Cold	8.600	4.06e-08	up
LOC110884547	aquaporin NIP2-1	NIP	Drought_14d	-2.335	0.000578	down
LOC110884546	aquaporin NIP2-2	NIP	Cold	5.027	0.000845	up
LOC110884546	aquaporin NIP2-2	NIP	Heat	-4.496	0.00145	down
LOC110884546	aquaporin NIP2-2	NIP	Drought_7d	-2.960	0.00523	down
LOC110884546	aquaporin NIP2-2	NIP	Drought_14d	-5.940	1.41e-08	down
